Year,Institute_ID,Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
2021,IR-E-C-37089,Sri Ramakrishna Engineering College,Coimbatore,Tamil Nadu,33.96,175.0,54.46,6.83,50.09,45.1,10.45
2021,IR-E-C-46111,KIET Group of Institutions,Ghaziabad,Uttar Pradesh,33.85,176.0,57.83,4.54,53.35,44.67,0.0
2021,IR-E-U-0643,Galgotias University,Gautam Budh Nagar,Uttar Pradesh,33.79,177.0,54.08,8.46,49.47,49.18,2.17
2021,IR-E-C-18010,Velagapudi Ramakrishna Siddhartha Engineering College,Vijayawada,Andhra Pradesh,33.73,178.0,54.41,8.15,46.79,52.53,3.56
2021,IR-E-U-0541,Sharda University,Greater Noida,Uttar Pradesh,33.64,179.0,52.08,10.44,41.15,54.55,12.15
2021,IR-E-U-0854,KLE Technological University,Dharwad,Karnataka,33.58,180.0,54.63,6.75,50.42,48.01,2.87
2021,IR-E-C-36143,Shri G. S. Institute of Technology & Science,Indore,Madhya Pradesh,33.49,181.0,52.93,3.8,55.1,48.3,6.19
2021,IR-E-U-0046,North Eastern Regional Institute of Science & Technology,Itanagar,Arunachal Pradesh,33.38,182.0,60.11,11.98,34.94,43.51,4.23
2021,IR-E-C-16537,St. Josephs College of Engineering,Kancheepuram,Tamil Nadu,33.36,183.0,51.5,10.67,50.71,45.66,0.0
2021,IR-E-C-36022,Lakshmi Narain College of Technology,Bhopal,Madhya Pradesh,33.23,184.0,51.79,1.86,57.61,55.45,0.74
2021,IR-E-U-0353,Centurion  University  of Technology and Management,Paralakhemundi,Odisha,33.14,185.0,52.52,3.79,54.32,53.05,0.74
2021,IR-E-I-1356,Rabindranath Tagore University,Raisen,Madhya Pradesh,33.07,186.0,56.04,1.76,47.95,61.42,0.0
2021,IR-E-U-0616,National Institute of Technology Uttarakhand,Srinagar (Garhwal),Uttarakhand,33.07,186.0,57.07,12.26,42.75,35.71,1.46
2021,IR-E-C-1412,JSS Science and Technology University,Mysuru,Karnataka,33.04,188.0,50.71,4.3,53.39,49.93,8.68
2021,IR-E-C-16560,Easwari Engineering College,Chennai,Tamil Nadu,32.75,189.0,51.44,2.41,56.66,48.49,4.23
2021,IR-E-I-1033,International Institute of Information Technology Bhubaneswar,Bhubaneswar,Odisha,32.73,190.0,42.3,12.58,54.47,49.64,4.23
2021,IR-E-C-27089,National Engineering College,Kovilpatti,Tamil Nadu,32.64,191.0,56.42,5.8,45.79,46.72,1.46
2021,IR-E-C-37028,Sona College of Technology,Salem,Tamil Nadu,32.61,192.0,53.68,4.16,49.5,48.67,4.9
2021,IR-E-C-1406,C M R Institute of Technology,Bengaluru,Karnataka,32.56,193.0,55.56,4.14,46.07,52.22,2.17
